Arista E_227: origen=V_122, pareja=E_226, cara=f0, siguiente=E_356, anterior=E_158
Arista E_228: origen=V_153, pareja=E_229, cara=f53, siguiente=E_253, anterior=E_328
Arista E_229: origen=V_48, pareja=E_228, cara=f32, siguiente=E_329, anterior=E_55
Arista E_230: origen=V_136, pareja=E_231, cara=f64, siguiente=E_332, anterior=E_186
Arista E_231: origen=V_121, pareja=E_230, cara=f63, siguiente=E_283, anterior=E_156
Arista E_232: origen=V_154, pareja=E_233, cara=f6, siguiente=E_354, anterior=E_260
Arista E_233: origen=V_155, pareja=E_232, cara=f53, siguiente=E_261, anterior=E_355
Arista E_234: origen=V_80, pareja=E_235, cara=f50, siguiente=E_188, anterior=E_100
Arista E_235: origen=V_137, pareja=E_234, cara=f24, siguiente=E_420, anterior=E_189
Arista E_236: origen=V_156, pareja=E_237, cara=f50, siguiente=E_461, anterior=E_485
Arista E_237: origen=V_148, pareja=E_236, cara=f24, siguiente=E_484, anterior=E_219
Arista E_238: origen=V_20, pareja=E_239, cara=f60, siguiente=E_525, anterior=E_144
Arista E_239: origen=V_0, pareja=E_238, cara=f67, siguiente=E_558, anterior=E_315
Arista E_240: origen=V_129, pareja=E_241, cara=f65, siguiente=E_378, anterior=E_171
Arista E_241: origen=V_157, pareja=E_240, cara=f53, siguiente=E_170, anterior=E_469
Arista E_242: origen=V_5, pareja=E_243, cara=f67, siguiente=E_315, anterior=E_558
Arista E_243: origen=V_152, pareja=E_242, cara=f4, siguiente=E_5, anterior=E_357
Arista E_244: origen=V_6, pareja=E_245, cara=f43, siguiente=E_474, anterior=E_75
Arista E_245: origen=V_158, pareja=E_244, cara=f53, siguiente=E_33, anterior=E_368
Arista E_246: origen=V_63, pareja=E_247, cara=f41, siguiente=E_499, anterior=E_70
Arista E_247: origen=V_123, pareja=E_246, cara=f42, siguiente=E_71, anterior=E_187
Arista E_248: origen=V_88, pareja=E_249, cara=f7, siguiente=E_399, anterior=E_112
Arista E_249: origen=V_159, pareja=E_248, cara=f60, siguiente=E_434, anterior=E_525
Arista E_250: origen=V_128, pareja=E_251, cara=f18, siguiente=E_177, anterior=E_281
Arista E_251: origen=V_131, pareja=E_250, cara=f17, siguiente=E_169, anterior=E_176
Arista E_252: origen=V_158, pareja=E_253, cara=f5, siguiente=E_178, anterior=E_475
Arista E_253: origen=V_48, pareja=E_252, cara=f53, siguiente=E_369, anterior=E_228
Arista E_254: origen=V_130, pareja=E_255, cara=f16, siguiente=E_291, anterior=E_174
Arista E_255: origen=V_99, pareja=E_254, cara=f58, siguiente=E_542, anterior=E_127
Arista E_256: origen=V_83, pareja=E_257, cara=f22, siguiente=E_293, anterior=E_210
Arista E_257: origen=V_114, pareja=E_256, cara=f14, siguiente=E_316, anterior=E_145
Arista E_258: origen=V_160, pareja=E_259, cara=f54, siguiente=E_113, anterior=E_540
Arista E_259: origen=V_88, pareja=E_258, cara=f68, siguiente=E_292, anterior=E_435
Arista E_260: origen=V_9, pareja=E_261, cara=f6, siguiente=E_232, anterior=E_10
Arista E_261: origen=V_154, pareja=E_260, cara=f53, siguiente=E_11, anterior=E_233
Arista E_262: origen=V_62, pareja=E_263, cara=f42, siguiente=E_370, anterior=E_71
Arista E_263: origen=V_161, pareja=E_262, cara=f19, siguiente=E_223, anterior=E_342
Arista E_264: origen=V_51, pareja=E_265, cara=f63, siguiente=E_402, anterior=E_283
Arista E_265: origen=V_162, pareja=E_264, cara=f34, siguiente=E_57, anterior=E_403
Arista E_266: origen=V_163, pareja=E_267, cara=f15, siguiente=E_444, anterior=E_487
Arista E_267: origen=V_164, pareja=E_266, cara=f0, siguiente=E_486, anterior=E_440
